Name,Sx,Sy,Sz,Ex,Ey,Ez,Trend,Plunge,Length,fam,REGION
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.3 on -19->140,629553.322,5056902.197,26.12599945,629554.681,5056900.546,26.87199974,140.5407562,-19.23188019,2.264779329,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.4.1 on 10->133,629549.231,5056905.911,31.36700058,629552.149,5056903.119,30.60099983,133.7361145,10.73986244,4.110537529,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.5 on 02->147,629550.09,5056905.216,24.50499916,629551.451,5056903.12,24.38800049,147.0038757,2.680295467,2.501830578,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.3 on 03->137,629549.411,5056905.596,23.63500023,629551.611,5056903.159,23.45000076,137.9258575,3.225008011,3.288358927,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.7.2 on 00->306,629534.46,5056917.326,28.37800026,629528.704,5056921.624,28.28499985,306.7486877,0.741777003,7.184272766,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.6 on 00->154,629535.503,5056917.413,31.61300087,629536.632,5056915.035,31.59600067,154.6030273,0.370094359,2.632512808,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.5 on 10->125,629536.711,5056914.168,33.84899902,629538.756,5056912.726,33.4070015,125.1895142,10.01731968,2.541009426,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.4 on 06->137,629520.534,5056928.572,24.81699944,629522.19,5056926.792,24.54599953,137.0671844,6.360295296,2.446283102,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.1 on 00->133,629518.725,5056930.62,22.55999947,629520.225,5056929.201,22.5510006,133.410614,0.25022921,2.064863205,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.6.7 on -1->127,629527.237,5056923.432,32.04399872,629532.54,5056919.385,32.23099899,127.3492584,-1.605837703,6.673435211,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.1 on 02->299,629517.198,5056931.817,32.78900146,629514.495,5056933.323,32.68000031,299.1244202,2.017515182,3.096140623,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.6 on 00->299,629516.225,5056932.606,33.69800186,629513.137,5056934.361,33.65200043,299.6112671,0.742304444,3.552126646,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.2 on -2->300,629514.602,5056933.328,33.99200058,629512.722,5056934.422,34.06900024,300.1955566,-2.027385712,2.176504135,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.1 on -4->315,629515.413,5056934.293,24.75099945,629513.928,5056935.794,24.92700005,315.3056641,-4.764852047,2.118789673,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.7 on -18->157,629507.628,5056942.766,23.61199951,629508.574,5056940.428,24.45700073,157.9705963,-18.52249908,2.659938574,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.9 on -26->307,629511.535,5056937.821,30.52499962,629509.46,5056939.402,31.84799957,307.3045044,-26.89198112,2.924986362,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.2 on 07->141,629508.14,5056938.216,35.18099976,629510.124,5056935.697,34.76699829,141.77565,7.357007504,3.233084679,fam1,VARENNE
